AGE;ANCSTRY1;ANCSTRY2;HISPANIC;INCOME1;INCOME2;INCOME3;INCOME4;INCOME5;INCOME6;INCOME7;INCOME8;INDUSTRY;LANG1;OCCUP;POB;PWGT1;RACE;SEX;YEARSCH
11;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0032;001;1;04
10;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0016;001;1;04
08;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0048;001;0;04
06;021;050;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;022;0032;001;0;01
33;900;999;000;035000;000000;000000;000000;00000;00000;00000;00000;450;2;889;001;0032;002;0;11
32;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;151;2;744;001;0032;002;1;08
15;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;0;06
10;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;1;05
11;900;999;000;000000;000000;000000;000000;00000;00000;00000;00000;000;2;000;001;0032;002;0;01
23;939;999;000;022000;000000;000000;000000;00000;00000;00000;00149;242;2;628;001;0128;001;0;09
