AGE;ANCSTRY1;ANCSTRY2;HISPANIC;INDUSTRY;LANG1;LANG2;OCCUP;POB;RACE;RPINCOME;SEX
19;939;999;000;251;2;000;549;001;001;015000;0
16;900;999;000;000;2;000;000;001;002;000000;0
12;050;999;000;000;2;000;000;001;001;000000;1
48;999;999;000;151;2;000;796;001;001;008993;1
39;999;999;000;000;2;000;000;001;002;004000;1
66;022;920;000;812;2;000;313;001;001;016880;1
25;920;050;000;011;2;000;479;001;001;000533;1
09;087;999;000;000;2;000;000;001;001;000000;0
76;195;999;000;000;2;000;000;001;001;004396;1
64;999;999;000;000;2;000;000;001;001;005736;0
01;999;999;000;000;0;000;000;001;001;000000;0
08;032;999;000;000;2;000;000;001;001;000000;0
30;022;050;000;041;2;000;368;001;001;025757;0
07;335;999;000;000;2;000;000;001;001;000000;0
18;999;999;000;641;2;000;435;001;001;001200;1
30;900;999;000;941;1;723;904;001;002;000000;0
00;999;999;000;000;0;000;000;001;001;000000;0
05;022;920;000;000;2;000;000;001;001;000000;0
61;087;021;000;740;2;000;426;001;001;029343;0
22;022;999;000;910;2;000;425;001;001;005000;1
52;999;999;000;842;2;000;453;001;001;005902;0
50;900;999;000;761;2;000;486;001;002;000200;0
43;050;022;000;842;2;000;156;001;001;000000;1
04;022;999;000;000;0;000;000;048;001;000000;1
28;087;999;000;851;2;000;022;001;001;024000;0
44;032;999;000;000;2;000;000;001;001;000000;1
53;087;999;000;700;2;000;007;001;001;136064;0
42;088;999;000;711;2;000;024;001;001;038000;0
06;032;022;000;000;2;000;000;001;001;000000;0
48;026;999;000;100;2;000;686;001;001;000000;1
18;088;999;000;000;2;000;000;001;001;000000;1
73;900;999;000;000;2;000;000;001;002;013135;0
42;900;999;000;722;2;000;453;001;002;002400;1
75;022;999;000;000;2;000;000;001;001;004200;1
57;999;999;000;601;2;000;365;001;002;023136;1
13;900;999;000;000;2;000;000;001;002;000000;1
15;900;999;000;000;2;000;000;022;002;000000;1
31;900;999;000;641;2;000;436;039;002;000256;1
16;900;999;000;000;2;000;000;001;002;000000;0
80;900;999;000;000;2;000;000;001;002;011290;1
12;999;999;000;000;2;000;000;001;002;000000;1
45;900;999;000;831;2;000;447;001;002;000000;1
76;939;999;000;000;2;000;000;001;002;003188;0
25;900;999;000;831;2;000;206;001;002;017000;0
46;032;999;000;000;2;000;000;001;001;000000;1
37;032;999;000;831;2;000;027;001;001;028000;1
27;920;999;000;711;2;000;315;001;001;018000;1
12;022;032;000;000;2;000;000;001;001;000000;0
31;022;999;000;840;2;000;099;047;001;027497;1
22;900;999;000;831;2;000;203;001;002;012000;1
68;939;999;000;711;2;000;337;047;001;013992;1
07;999;999;000;000;2;000;000;001;001;000000;1
22;021;050;000;620;2;000;022;048;001;026513;0
02;999;999;000;000;0;000;000;001;001;000000;0
72;920;032;000;000;2;000;000;001;001;005214;1
75;939;999;000;840;2;000;447;047;001;014482;1
34;999;999;000;060;2;000;022;001;001;015100;0
53;021;920;000;410;2;000;804;001;001;026780;0
53;939;999;000;842;2;000;436;001;001;004871;1
47;022;999;000;060;2;000;276;001;001;012000;1
42;999;999;000;000;2;000;000;001;001;000000;1
38;999;999;000;042;2;000;613;001;001;032000;0
30;900;999;000;111;2;000;779;001;002;022000;0
49;999;999;000;642;2;000;379;001;001;012000;1
75;999;999;000;000;2;000;000;028;002;002200;1
01;032;153;000;000;0;000;000;001;001;000000;0
11;900;999;000;000;2;000;000;010;002;000000;0
42;087;999;000;893;2;000;059;036;001;040000;0
58;088;999;000;893;1;607;007;001;001;085874;0
37;032;999;000;712;2;000;018;055;001;090000;0
80;032;082;000;000;2;000;000;017;001;010437;0
11;900;999;000;000;2;000;000;001;002;000000;1
05;920;999;000;000;2;000;000;001;001;000000;0
38;939;999;000;841;2;000;234;001;001;035056;1
15;939;999;000;000;2;000;000;001;001;000000;1
43;050;999;000;000;2;000;000;001;001;000000;1
17;999;999;000;000;2;000;000;001;001;000000;0
58;032;999;000;000;2;000;000;001;001;000000;1
86;920;050;000;000;2;000;000;001;001;003600;0
67;050;999;000;000;2;000;000;001;001;002350;1
21;999;999;000;000;2;000;000;001;001;000000;1
50;999;999;000;421;2;000;708;001;001;013000;0
23;920;999;000;120;2;000;796;001;001;021534;0
32;050;999;000;840;2;000;095;012;001;000000;1
34;022;999;000;270;2;000;389;001;001;024025;0
46;999;999;000;000;2;000;000;001;001;007000;1
52;999;999;000;601;2;000;877;001;001;012748;1
19;050;999;000;641;2;000;435;001;001;000840;1
23;050;999;000;641;2;000;017;013;001;008000;1
33;900;999;000;550;2;000;889;001;002;008500;0
09;900;999;000;000;2;000;000;001;002;000000;0
16;900;999;000;550;2;000;889;001;002;008648;1
37;087;999;000;931;2;000;197;001;001;024200;0
16;022;999;000;641;2;000;436;001;001;000500;0
47;920;999;000;000;2;000;000;001;001;000000;1
15;022;088;000;000;2;000;000;001;001;000000;0
68;022;021;000;000;2;000;000;001;001;004633;1
73;999;999;000;000;2;000;000;001;001;004860;1
02;939;999;000;000;0;000;000;001;001;000000;0
13;999;999;000;000;2;000;000;001;001;000000;1
11;032;210;000;000;2;000;000;001;001;000000;1
19;900;999;000;910;2;000;426;001;002;008000;1
24;553;999;000;641;2;000;433;440;002;005224;0
03;999;999;000;000;0;000;000;001;001;000000;1
39;939;999;000;601;2;000;888;001;001;001200;1
49;032;999;000;000;2;000;000;001;001;006000;0
28;050;999;000;633;2;000;267;001;001;022080;0
13;900;999;000;000;2;000;000;001;002;000000;1
31;050;999;000;633;2;000;518;042;001;011100;0
01;999;999;000;000;0;000;000;001;002;000000;1
27;032;999;000;000;2;000;000;001;001;006000;1
22;087;032;000;011;2;000;473;001;001;001300;0
24;087;032;000;341;2;000;213;026;001;027000;0
32;939;999;000;812;2;000;095;001;001;020000;1
35;109;999;000;041;2;000;859;001;001;039581;0
51;087;999;000;041;1;723;616;013;001;019100;0
78;939;999;000;000;2;000;000;013;001;008000;0
09;900;999;000;000;2;000;000;001;002;000000;1
15;900;999;000;000;2;000;000;026;002;000000;0
47;129;021;000;840;2;000;447;036;001;011034;1
16;900;999;000;000;1;620;000;001;002;001788;0
28;999;999;000;060;2;000;869;001;001;011000;0
31;026;021;000;822;2;000;677;042;001;021000;1
05;050;999;000;000;2;000;000;001;001;000000;0
47;900;999;000;231;2;000;883;001;002;006160;0
54;050;999;000;451;2;000;313;001;001;014000;1
26;999;999;000;960;2;000;018;001;001;014500;0
60;939;999;000;000;2;000;000;023;001;006933;1
08;920;999;000;000;2;000;000;013;327;000000;0
07;999;999;000;000;2;000;000;013;001;000000;1
15;999;999;000;000;2;000;000;001;002;000000;0
33;022;999;000;060;2;000;567;001;001;010500;0
83;087;999;000;000;2;000;000;001;001;063264;0
23;032;050;000;580;2;000;889;042;001;000100;0
19;920;999;000;471;2;000;875;013;001;003050;0
62;939;999;000;140;2;000;628;001;001;017000;0
06;022;999;000;000;2;000;000;013;001;000000;0
22;022;089;000;231;2;000;799;001;001;000250;0
41;939;999;000;641;2;000;444;001;001;001056;1
35;939;999;000;641;2;000;435;021;001;005000;1
29;999;999;000;512;2;000;327;001;001;000000;1
48;050;920;000;291;2;000;856;001;001;012338;0
66;125;999;000;172;2;000;022;001;001;014154;1
17;900;999;000;000;2;000;000;001;002;000000;1
38;900;999;000;000;2;000;000;001;002;005700;0
79;924;999;000;000;2;000;000;001;001;003600;0
01;900;999;000;000;0;000;000;026;002;000000;1
47;900;999;000;000;2;000;000;001;002;000000;1
18;900;999;000;000;2;000;000;001;002;000000;1
26;920;050;000;791;2;000;389;017;001;014000;0
28;050;999;000;060;2;000;365;001;001;030000;0
20;032;051;000;642;2;000;877;001;001;025000;0
07;900;999;000;000;2;000;000;001;002;000000;1
35;900;999;000;681;2;000;185;001;002;000000;1
01;939;999;000;000;0;000;000;001;001;000000;0
11;939;999;000;000;2;000;000;001;001;000000;0
84;022;999;000;000;2;000;000;001;001;004872;1
08;939;999;000;000;2;000;000;001;001;000000;1
26;900;999;000;870;2;000;748;001;002;008056;1
36;142;999;000;932;2;000;095;042;001;013000;1
06;900;999;000;000;2;000;000;001;002;000000;0
39;900;999;000;591;2;000;276;001;002;019000;1
69;939;999;000;000;2;000;000;001;001;013747;0
15;999;999;000;000;2;000;000;001;002;001056;1
30;900;999;000;401;2;000;313;001;002;008000;1
23;900;999;000;000;2;000;000;001;002;002160;1
38;999;999;000;060;2;000;022;001;001;034800;0
61;022;999;000;441;2;000;327;001;001;019000;1
28;026;999;000;700;2;000;025;051;001;025000;0
14;900;999;000;000;2;000;000;001;002;000000;1
51;900;999;000;000;1;620;000;001;002;004632;1
65;900;999;000;000;2;000;000;001;002;002616;1
15;050;999;000;000;2;000;000;001;001;000000;1
14;900;999;000;000;2;000;000;001;002;000000;1
36;088;999;000;160;2;000;575;048;001;028000;0
05;900;999;000;000;2;000;000;001;002;000000;0
35;050;920;000;010;2;000;477;001;001;016161;1
08;022;999;199;000;2;000;000;001;001;000000;1
10;939;999;000;000;2;000;000;012;001;000000;0
48;900;999;000;772;2;000;458;001;002;010000;1
65;999;999;000;931;2;000;889;001;001;002498;1
15;996;999;000;000;2;000;000;012;001;000000;0
02;999;999;000;000;0;000;000;001;001;000000;1
35;939;999;000;060;2;000;337;001;001;010000;1
32;999;999;000;060;2;000;558;001;001;023400;0
16;900;999;000;000;2;000;000;001;002;000000;0
02;022;999;199;000;0;000;000;001;001;000000;1
90;900;999;000;000;2;000;000;001;002;004872;1
25;900;999;000;060;2;000;869;001;002;005000;0
19;900;999;000;780;2;000;457;001;002;003000;0
37;900;999;000;390;2;000;215;013;002;006000;1
44;032;999;000;060;2;000;567;110;001;020000;0
13;900;999;000;000;2;000;000;001;002;000000;1
72;051;999;000;000;2;000;000;001;001;004000;0
64;900;999;000;000;2;000;000;001;002;005668;0
67;900;999;000;600;2;000;243;001;002;012200;0
30;900;999;000;100;2;000;518;001;002;010000;0
04;900;999;199;000;0;000;000;001;002;000000;0
09;900;999;199;000;1;620;000;001;002;000000;1
02;900;999;001;000;0;000;000;001;002;000000;0
01;999;999;000;000;0;000;000;001;002;000000;1
09;900;999;000;000;2;000;000;012;002;000000;1
10;900;999;000;000;2;000;000;001;002;000000;0
48;022;935;000;711;2;000;337;044;001;011338;1
32;999;999;000;160;2;000;496;001;001;030100;0
60;022;050;000;530;2;000;029;001;001;033500;0
41;087;999;000;842;2;000;156;042;001;023500;0
52;920;022;000;842;2;000;163;026;001;015000;1
20;939;999;000;861;2;000;487;001;001;000000;1
75;920;999;000;000;2;000;000;001;001;002760;1
32;050;920;199;921;2;000;023;026;001;013901;1
81;087;999;000;000;2;000;000;013;001;009000;1
58;920;999;000;000;2;000;000;001;001;000000;1
50;900;999;000;000;2;000;000;001;002;004728;1
43;032;022;000;412;2;000;354;013;001;022300;0
14;900;999;000;000;2;000;000;001;002;000000;0
48;032;087;000;000;2;000;000;053;001;000000;1
75;900;999;000;000;2;000;000;001;002;001200;1
02;900;999;000;000;0;000;000;001;002;000000;0
02;900;999;000;000;0;000;000;001;002;000000;0
31;900;999;000;722;2;000;453;001;002;012642;0
33;900;999;000;591;2;000;274;001;002;003508;1
05;900;999;000;000;2;000;000;001;002;000000;1
08;900;999;000;000;2;000;000;001;002;000000;1
76;088;999;000;000;2;000;000;048;001;010224;0
02;920;050;000;000;0;000;000;001;001;000000;1
41;026;051;199;831;2;000;095;001;001;032688;1
86;026;999;199;741;2;000;313;022;001;011576;1
32;022;999;000;842;2;000;156;001;001;020000;1
17;050;999;000;000;2;000;000;001;001;000000;0
25;032;920;000;010;2;000;479;001;001;001750;1
34;920;999;000;831;2;000;095;001;001;030200;1
55;087;999;000;282;2;000;059;001;001;020000;0
52;050;999;000;160;2;000;313;028;001;025000;1
24;302;999;310;940;1;625;153;310;037;013855;0
39;087;999;000;812;2;000;313;001;001;016400;1
85;939;999;000;000;2;000;000;001;001;004674;1
36;022;999;000;550;2;000;804;001;001;025000;0
48;032;999;000;820;2;000;204;001;001;011000;1
36;999;999;000;871;2;000;095;001;001;008000;1
12;022;999;000;000;2;000;000;001;001;000000;1
69;939;999;000;631;2;000;266;001;001;001680;1
69;026;032;000;000;2;000;000;019;001;003611;1
22;022;999;000;623;2;000;264;001;001;009000;0
24;999;999;199;111;1;728;687;001;002;011000;0
28;050;032;000;211;2;000;796;047;001;005744;1
34;999;999;000;612;2;000;243;001;001;022000;0
74;939;999;000;010;2;000;473;001;001;009950;0
16;939;999;000;000;2;000;000;001;001;000000;1
77;050;999;000;010;2;000;473;001;001;003000;1
37;999;999;000;842;2;000;174;021;001;002341;1
25;032;045;000;831;2;000;377;036;001;000200;1
16;900;999;000;000;2;000;000;001;002;000000;1
34;022;050;000;791;2;000;159;001;001;002532;1
00;022;032;000;000;0;000;000;001;001;000000;1
28;088;999;000;810;2;000;467;013;001;004000;1
28;032;021;000;952;2;000;365;001;001;015000;0
42;210;999;001;770;2;000;022;016;001;004986;1
45;900;999;000;401;2;000;808;048;002;018000;0
46;740;999;000;421;1;723;318;215;009;060000;0
26;032;050;000;641;2;000;435;055;001;004302;1
45;050;999;000;931;2;000;005;039;001;076555;0
37;022;088;000;060;2;000;075;040;001;101150;0
30;022;142;000;042;2;000;308;048;001;051000;0
37;045;999;000;000;2;000;000;002;001;000900;1
42;032;999;000;442;2;000;022;053;001;155000;0
69;087;999;000;000;2;000;000;018;001;008997;1
30;022;999;000;812;2;000;447;024;001;030873;1
62;032;088;000;841;2;000;313;019;001;024497;1
24;050;111;000;432;2;000;804;056;001;023880;0
38;920;148;000;612;2;000;505;053;001;036580;0
25;920;999;000;641;2;000;435;055;001;009057;1
44;089;999;000;930;2;000;005;039;001;042863;0
90;097;999;000;000;2;000;000;018;001;010475;0
47;935;999;000;171;2;000;195;026;001;033873;1
16;900;999;000;860;2;000;159;013;002;000405;1
40;999;999;000;891;2;000;022;029;001;008673;0
41;022;032;000;770;2;000;449;006;001;000873;1
48;088;051;000;901;2;000;004;017;001;059873;0
17;939;999;000;000;2;000;000;002;001;000873;0
52;148;999;000;780;2;000;457;002;005;009873;1
27;082;089;000;412;2;000;005;053;001;015000;1
28;022;999;000;060;2;000;869;053;001;030873;1
02;922;999;000;000;0;000;000;002;004;000000;1
27;922;999;000;060;2;000;779;002;004;003000;0
22;922;999;000;600;1;805;365;002;004;004876;0
55;050;920;000;230;2;000;494;006;001;071600;0
26;920;999;000;641;2;000;444;032;326;004772;1
07;995;999;000;000;2;000;000;026;001;000000;0
31;032;148;000;230;2;000;494;041;001;051832;0
05;920;999;000;000;2;000;000;002;324;000000;0
49;022;021;000;060;2;000;628;030;001;061873;0
03;922;999;000;000;0;000;000;002;004;000000;1
07;922;999;000;000;1;803;000;002;004;000000;0
11;922;999;000;000;1;803;000;002;004;000000;0
21;050;999;000;910;2;000;359;029;001;005873;1
28;996;999;000;032;2;000;498;002;004;012005;0
39;920;999;000;000;2;000;000;002;004;000873;1
29;021;999;000;932;2;000;022;025;001;029997;1
41;050;999;000;910;2;000;413;317;001;027180;0
37;720;999;000;331;1;742;754;231;008;011000;0
18;922;999;000;932;1;805;804;002;004;001871;1
31;098;999;000;842;2;000;157;008;001;010020;0
26;922;999;000;000;1;805;000;002;004;000873;0
32;922;999;000;852;1;805;164;002;004;001023;1
09;922;999;000;000;2;000;000;002;004;000000;1
28;922;999;000;840;1;805;446;002;004;017873;1
70;920;999;000;000;2;000;000;002;301;000973;0
40;050;999;000;011;2;000;475;041;001;062873;0
51;920;999;000;832;1;847;174;002;301;009973;1
72;022;999;000;000;2;000;000;021;001;000000;1
05;032;999;000;000;2;000;000;004;001;000000;0
22;032;999;000;702;2;000;313;055;001;008000;1
37;032;142;000;841;2;000;234;017;001;028200;1
16;032;022;000;000;2;000;000;039;001;000000;0
30;032;022;000;352;2;000;064;017;001;049500;0
38;032;999;000;362;2;000;044;036;001;060114;0
06;022;999;000;000;2;000;000;016;001;000000;0
43;920;050;000;441;2;000;348;051;001;028100;1
24;032;999;000;641;2;000;433;004;001;014000;1
22;210;999;001;633;1;625;889;004;037;004605;0
73;924;999;000;591;2;000;274;055;001;007152;1
00;148;022;000;000;0;000;000;004;001;000000;1
27;032;999;199;580;2;000;365;111;001;019000;1
01;050;022;000;000;0;000;000;004;001;000000;0
04;999;999;000;000;0;000;000;004;001;000000;0
46;032;050;000;612;2;000;308;006;001;018440;1
01;026;999;000;000;0;000;000;004;001;000000;1
43;032;999;000;700;2;000;383;039;001;010000;1
06;032;022;000;000;2;000;000;004;001;000000;1
23;210;999;001;000;1;625;000;315;001;000000;1
23;939;999;000;772;2;000;458;008;001;010000;1
18;022;999;000;700;2;000;804;008;001;005500;0
63;939;999;000;761;2;000;809;004;001;009763;1
09;051;026;000;000;2;000;000;004;001;000000;1
03;088;999;000;000;0;000;000;004;001;000000;0
34;051;200;231;812;1;625;203;375;001;000000;1
61;082;999;000;702;2;000;022;019;001;084200;0
34;050;129;000;722;2;000;453;034;001;025000;0
40;087;999;000;500;2;000;259;030;001;004000;0
06;020;022;000;000;2;000;000;004;001;000000;1
36;050;999;000;910;2;000;303;034;001;035150;0
42;050;026;000;850;2;000;027;048;001;018000;0
49;022;089;000;681;2;000;185;049;001;000800;1
80;051;999;000;000;1;619;000;036;001;011887;0
54;022;032;000;322;2;000;229;301;001;046797;0
36;032;999;000;601;2;000;276;039;001;003666;1
36;050;032;000;842;2;000;156;042;001;027000;1
64;051;999;000;601;1;619;436;120;001;015459;0
28;920;999;000;660;1;864;647;035;315;008000;0
01;051;032;000;000;0;000;000;004;001;000000;1
61;032;999;000;740;2;000;426;046;001;023381;0
05;900;999;000;000;2;000;000;004;002;000000;0
15;032;022;000;000;2;000;000;008;001;001530;0
30;050;999;000;840;2;000;208;055;001;011000;1
31;999;999;000;682;1;639;274;004;001;045000;0
07;939;999;000;000;1;625;000;004;001;000000;0
09;142;032;000;000;2;000;000;038;001;000000;1
33;290;999;290;831;2;000;444;004;037;003000;1
65;996;999;000;842;2;000;364;017;001;016305;0
23;210;999;001;841;1;625;315;035;001;001200;0
07;999;999;000;000;2;000;000;004;001;000000;0
24;221;999;221;242;1;625;216;311;001;020000;0
07;210;999;001;000;2;000;000;004;001;000000;1
17;210;999;001;392;1;625;889;315;001;008000;0
11;900;999;000;000;2;000;000;004;002;000000;1
58;050;999;000;000;2;000;000;017;001;000000;1
20;210;999;001;741;1;625;356;004;001;001700;0
37;011;999;000;931;2;000;507;026;001;022500;0
01;290;999;001;000;0;000;000;004;037;000000;1
02;939;999;000;000;0;000;000;004;001;000000;0
42;291;999;001;620;2;000;505;004;037;036000;0
01;210;999;001;000;0;000;000;004;037;000000;1
23;900;999;000;000;2;000;000;004;002;009400;1
31;032;999;000;060;2;000;022;008;001;032000;1
56;210;999;001;992;1;625;909;315;037;000000;0
35;210;999;001;182;1;625;754;315;037;024000;1
08;290;999;290;000;2;000;000;004;037;000000;1
06;210;999;001;000;1;625;000;004;001;000000;0
59;900;999;000;000;2;000;000;048;002;000057;0
24;210;999;001;771;1;625;748;315;001;007000;1
31;900;999;000;341;2;000;779;004;002;018964;1
59;022;999;000;000;2;000;000;006;001;012138;0
33;050;999;000;762;2;000;436;018;001;014000;1
71;022;087;000;000;2;000;000;021;001;069254;1
75;032;022;000;711;2;000;022;029;001;070300;0
51;022;032;000;691;2;000;323;042;001;002400;1
04;210;999;001;000;0;000;000;004;037;000000;0
73;032;999;000;000;2;000;000;055;001;003288;1
77;022;999;000;000;2;000;000;017;001;009100;1
02;021;032;000;000;0;000;000;024;001;000000;1
16;021;935;000;662;2;000;274;029;001;000000;1
38;210;999;001;772;1;625;458;004;037;007000;1
01;210;999;000;000;0;000;000;004;001;000000;1
01;153;032;000;000;0;000;000;004;001;000000;1
21;022;999;000;831;2;000;365;026;001;012000;1
38;924;999;000;711;2;000;313;004;001;012339;1
41;032;999;000;831;2;000;189;039;001;030000;0
61;032;999;000;691;2;000;026;031;001;049713;0
12;920;210;000;000;2;000;000;004;318;000000;1
38;050;022;000;500;2;000;259;017;001;041000;0
33;032;022;000;633;2;000;313;008;001;008400;1
12;051;999;000;000;2;000;000;017;001;000000;1
03;939;999;000;000;0;000;000;053;001;000000;0
28;032;022;000;711;2;000;243;029;001;048100;0
65;088;999;000;812;2;000;084;051;001;015516;0
05;022;050;000;000;2;000;000;004;001;000000;0
23;050;022;000;932;2;000;486;004;001;012000;0
19;032;050;000;801;2;000;275;004;001;002500;1
59;050;148;000;711;2;000;024;036;001;118000;0
39;050;999;000;702;2;000;025;046;001;080000;1
66;021;999;000;000;2;000;000;012;001;006400;0
28;045;051;000;401;2;000;095;042;001;009000;0
57;097;087;000;842;2;000;156;008;001;000000;1
35;026;050;000;821;2;000;446;004;001;008564;1
00;026;050;000;000;0;000;000;004;001;000000;0
42;032;999;000;831;2;000;095;017;001;033200;1
80;153;999;000;691;2;000;274;042;001;007549;1
17;210;999;001;000;1;625;000;004;037;000000;1
35;785;999;000;151;1;728;744;242;012;014000;0
21;706;999;000;000;1;712;000;211;010;000000;0
33;032;999;000;000;2;000;000;004;001;005000;1
47;782;999;000;532;1;714;243;238;006;006000;1
47;022;999;000;850;2;000;014;036;001;026700;1
46;026;999;000;901;2;000;197;048;001;024239;1
17;931;032;000;762;2;000;443;026;001;004895;1
22;088;032;000;641;2;000;435;008;001;002000;1
29;032;026;000;172;2;000;027;031;001;010000;0
11;050;032;000;000;2;000;000;008;001;000000;0
12;032;022;000;000;2;000;000;004;001;000000;1
49;051;999;000;623;2;000;307;042;001;030000;0
25;020;999;000;420;2;000;319;049;001;010000;1
31;291;999;001;641;1;625;023;048;001;000000;1
13;032;999;000;000;1;620;000;039;001;000000;1
43;920;999;000;060;2;000;883;004;320;015000;0
05;939;999;000;000;2;000;000;004;001;000000;0
08;999;999;000;000;2;000;000;004;001;000000;0
32;050;022;000;421;2;000;364;011;001;011047;1
00;999;999;000;000;0;000;000;004;001;000000;0
30;032;999;000;842;1;625;156;041;001;000000;1
59;022;088;000;711;2;000;313;004;001;003500;1
69;022;082;000;000;2;000;000;038;001;015065;1
04;210;999;210;000;0;000;000;004;037;000000;0
67;051;999;000;000;2;000;000;017;001;003504;1
35;088;022;000;601;2;000;385;006;001;010000;1
02;210;022;001;000;0;000;000;004;001;000000;0
09;210;142;001;000;2;000;000;004;037;000000;1
82;939;999;000;000;2;000;000;004;001;006000;0
23;032;050;000;652;2;000;274;031;001;000480;1
14;210;999;001;000;2;000;000;004;001;000000;0
22;022;999;000;700;2;000;379;039;001;015000;1
20;051;210;001;850;2;000;225;110;001;000000;1
36;089;999;000;772;2;000;458;049;001;001000;1
19;032;999;000;761;2;000;406;006;001;003000;1
28;032;089;000;812;2;000;095;004;001;012200;1
11;011;999;000;000;2;000;000;004;001;000000;1
58;939;999;000;862;2;000;558;017;001;010000;0
42;022;050;000;863;2;000;466;017;001;015000;1
60;022;087;000;341;2;000;056;046;001;044000;0
30;022;088;000;762;2;000;315;017;001;012000;1
01;088;999;000;000;0;000;000;004;001;000000;0
21;022;148;000;500;2;000;877;004;001;003000;0
29;935;999;000;000;2;000;000;004;001;000000;1
24;032;999;000;862;2;000;467;025;001;010000;1
26;021;032;199;842;2;000;156;004;001;024000;1
47;999;999;000;011;2;000;479;004;001;017623;0
33;022;032;000;871;2;000;174;051;001;027000;1
15;210;999;001;000;2;000;000;004;001;000000;1
02;210;084;210;000;0;000;000;004;037;000000;1
18;045;032;000;620;2;000;276;004;001;000000;1
82;999;999;000;000;2;000;000;020;001;015392;1
25;032;089;000;401;2;000;809;004;001;019405;0
36;999;999;000;060;2;000;869;004;001;036145;1
31;999;999;000;910;2;000;389;004;001;029000;1
63;939;999;000;000;2;000;000;034;001;003000;1
