Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
2141,Verified,C,chr 1,ACS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
2351,Verified,W,chr 1,FLC2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,nucleobase-containing compound transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
3143,Verified,W,chr 1,OAF1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
740,Verified,C,chr 1,AIM2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Verified,C,chr 1,GEM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,GTPase activity,,,,,,,,
1868,Verified,C,chr 1,SPC72,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,structural molecule activity,,,,,,,,,,,,,,
356,Verified,C,chr 1,BOL3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein maturation,,,,,,,,,,,,,,,,,,,,,,,,,
512,Verified,C,chr 1,GCV3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
2357,Verified,C,chr 1,PTA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1247,Verified,W,chr 1,ERV46,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
2564,Verified,W,chr 1,CDC24,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
1742,Verified,C,chr 1,CLN3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
809,Verified,C,chr 1,CYC3,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,protein complex biogenesis,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1502,Verified,W,chr 1,CDC19,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1109,Verified,C,chr 1,RBG1,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
3008,Verified,W,chr 1,FUN12,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,GTPase activity,,,,,,,,
869,Verified,W,chr 1,MTW1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,cellular process,chromosome segregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Verified,W,chr 1,POP5,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1139,Verified,C,chr 1,PRP45,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
2282,Verified,C,chr 1,GIP4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,binding,protein binding,enzyme binding,,,,,,,,,,,,
466,Verified,W,chr 1,SNC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
4415,Verified,C,chr 1,MYO4,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,organelle inheritance,,,,,,,,,,,,binding,protein binding,cytoskeletal protein binding,,,,,,,,,,,,
1586,Verified,W,chr 1,FRT2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,response to stimulus,response to stress,response to osmotic stress,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Verified,W,chr 1,SAW1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA repair,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
4067,Verified,C,chr 1,DRS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,cellular process,cellular component organization,cellular component assembly,macromolecular complex assembly,cellular macromolecular complex assembly,ribonucleoprotein complex assembly,ribosome assembly,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
920,Verified,C,chr 1,MAK16,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,,,,,,,,,,,,,,,
4307,Verified,C,chr 1,LTE1,cell part,cellular bud,,,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
2279,Verified,C,chr 1,PMT2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1553,Verified,C,chr 1,FUN26,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,nucleobase-containing compound transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
2513,Verified,C,chr 1,CCR4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1001,Verified,C,chr 1,ATS1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,,,,,,,,,,,,,,,
3395,Verified,W,chr 1,FUN30,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
4070,Verified,W,chr 1,PSK1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1907,Verified,W,chr 1,TPD3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1199,Verified,C,chr 1,NTG1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA repair,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
767,Verified,C,chr 1,SYN8,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Verified,W,chr 1,DEP1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,,,,,,,,,,,,,,,
1184,Verified,W,chr 1,CYS3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1877,Verified,W,chr 1,SWC3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,cellular process,cellular component organization,chromatin organization,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,Verified,C,chr 1,MDM10,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
779,Verified,W,chr 1,SPO7,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
596,Verified,W,chr 1,FUN14,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,mitochondrion organization,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,Verified,C,chr 1,SSA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
986,Verified,W,chr 1,EFB1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
3824,Verified,W,chr 1,VPS8,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,protein binding,enzyme binding,,,,,,,,,,,,
3572,Verified,C,chr 1,TFC3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase III promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1619,Verified,W,chr 1,NUP60,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,ion binding,,,,,,,,,,,,,
1280,Verified,W,chr 1,SWD1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
1865,Verified,C,chr 1,RFA1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
827,Verified,W,chr 1,SEN34,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2129,Verified,C,chr 1,BUD14,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
920,Verified,W,chr 1,ADE1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
1307,Verified,C,chr 1,KIN3,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
2924,Verified,C,chr 1,CDC15,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
167,Verified,C,chr 1,PAU7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Verified,W,chr 1,UIP3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Verified,W,chr 1,PRM9,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Verified,W,chr 1,MST28,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,vesicle organization,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,Verified,W,chr 1,YAT1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
3566,Verified,W,chr 1,SWH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
4613,Verified,W,chr 1,FLO1,cell part,external encapsulating structure,cell wall,,,,,,,,,,,,,response to stimulus,response to stress,response to heat,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Verified,W,chr 1,PHO11,extracellular region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
362,Verified,C,chr 10,PAU1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,Verified,W,chr 10,VTH2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
1769,Verified,C,chr 10,IMA4,,,,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,oligosaccharide metabolic process,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1703,Verified,W,chr 10,HXT9,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,carbohydrate transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
1745,Verified,C,chr 10,IMA5,,,,,,,,,,,,,,,,metabolic process,primary metabolic process,carbohydrate metabolic process,oligosaccharide metabolic process,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1709,Verified,W,chr 10,HXT8,membrane,plasma membrane,,,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,carbohydrate transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
2399,Verified,C,chr 10,OPT1,membrane,plasma membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
815,Verified,W,chr 10,PEX2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
989,Verified,C,chr 10,NUC1,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
304,Verified,C,chr 10,NCE101,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Verified,W,chr 10,PRP21,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
2369,Verified,C,chr 10,ACO2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
2645,Verified,W,chr 10,PHO90,membrane,plasma membrane,,,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
3764,Verified,W,chr 10,UBP12,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
932,Verified,C,chr 10,ELO1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1541,Verified,W,chr 10,CDC6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA replication,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
704,Verified,C,chr 10,SOP4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
824,Verified,W,chr 10,RPS14B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
392,Verified,C,chr 10,RPS22A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
541,Verified,W,chr 10,RPL39,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
